year,month,type,moving_time,distance,cumulative_dist
2017,11,Run,1.7769444444444444,19.0614,19.0614
2017,12,Run,0.7819444444444446,7.3044,26.3658
2018,4,Ride,2.786666666666666,74.6565,74.6565
2018,4,Run,0.2772222222222222,3.0111999999999997,3.0111999999999997
2018,5,Ride,1.0047222222222223,27.872700000000002,102.5292
2018,6,Ride,18.835833333333333,456.0561000000001,558.5853000000001
2018,7,Ride,8.504444444444443,222.86059999999998,781.4459
2018,8,Ride,21.00888888888889,581.6614,1363.1073000000001
2018,8,Run,3.8791666666666664,38.283500000000004,41.294700000000006
2018,9,Ride,14.681111111111111,362.31659999999994,1725.4239
2018,9,Run,1.455277777777778,15.956299999999999,57.251000000000005
2018,12,Ride,0.5469444444444445,16.7636,1742.1875
2019,3,Ride,3.0525,74.3406,74.3406
2019,4,Ride,11.386944444444445,313.9258,388.2664
2019,4,Run,7.400833333333333,76.09060000000001,76.09060000000001
2019,4,Swim,1.3891666666666667,4.2,4.2
2019,5,Ride,15.240833333333335,397.49989999999997,785.7663
2019,5,Run,3.6638888888888888,37.6185,113.7091
2019,5,Swim,4.65,14.175,18.375
2019,6,Ride,22.042777777777776,548.9773,1334.7436
2019,6,Run,3.4227777777777777,35.75359999999999,149.46269999999998
2019,6,Swim,2.326666666666667,7.174999999999999,25.549999999999997
2019,6,Walk,4.116666666666666,14.875399999999999,14.875399999999999
2019,7,Ride,14.606388888888889,411.8317,1746.5753
2019,7,Run,4.645833333333333,51.66340000000001,201.1261
2019,7,Swim,3.0705555555555555,9.075000000000001,34.625
2019,8,Ride,10.015277777777778,285.1637,2031.739
2019,8,Run,4.381111111111111,46.0242,247.15030000000002
2019,8,Swim,2.000277777777778,6.6499999999999995,41.275
2019,9,Ride,21.966388888888893,643.3548,2675.0938
2019,9,Run,3.2425,34.341499999999996,281.4918
2019,9,Swim,4.710277777777778,15.875,57.15
2019,10,Ride,16.900833333333335,491.373,3166.4668
2019,10,Run,6.224444444444445,70.3301,351.8219
2019,10,Swim,6.883055555555555,22.9,80.05
2019,11,Ride,14.440833333333336,422.4002,3588.867
2019,11,Run,3.1502777777777777,36.770700000000005,388.59260000000006
2019,11,Swim,2.3200000000000003,7.625,87.675
2019,12,Ride,7.125277777777778,210.88019999999997,3799.7472000000002
2019,12,Run,4.996944444444445,54.936499999999995,443.5291000000001
2019,12,Swim,2.5372222222222223,7.075,94.75
2020,1,Ride,13.373333333333333,378.5778,378.5778
2020,1,Run,4.7,53.4474,53.4474
2020,1,Swim,5.800833333333332,18.05,18.05
2020,2,Ride,12.245833333333334,368.84600000000006,747.4238
2020,2,Run,4.8925,56.0582,109.5056
2020,2,Swim,5.471388888888888,18.5,36.55
2020,3,Ride,21.395555555555553,601.5585,1348.9823000000001
2020,3,Run,6.9719444444444445,75.422,184.92759999999998
2020,3,Swim,3.265277777777778,11.05,47.599999999999994
2020,4,Ride,52.9525,1540.4997,2889.482
2020,4,Run,5.4975,56.1487,241.07629999999997
2020,5,Ride,20.306111111111107,574.8793,3464.3613
2020,5,Run,5.311944444444444,56.3647,297.441
2020,6,Ride,14.188611111111111,397.20669999999996,3861.568
2020,6,Run,3.589444444444445,37.089600000000004,334.5306
2020,6,Swim,0.8197222222222221,2.7365999999999997,50.3366
2020,7,Ride,17.870555555555555,479.07160000000005,4340.6396
2020,7,Run,7.299166666666668,75.3118,409.8424
2020,7,Swim,1.6602777777777777,6.273,56.6096
2020,7,Walk,0.6102777777777778,3.6660999999999997,3.6660999999999997
2020,8,Ride,17.702222222222222,507.2826,4847.922200000001
2020,8,Run,5.525833333333334,53.9184,463.7608
2020,9,Ride,24.826388888888882,684.0836999999999,5532.005900000001
2020,9,Run,5.357777777777779,54.36710000000001,518.1279000000001
2020,10,Ride,13.471111111111112,352.3595,5884.365400000001
2020,10,Run,8.464166666666666,87.16140000000001,605.2893000000001
2020,10,Swim,2.8244444444444445,9.1,65.7096
2020,11,Ride,19.10666666666667,507.49100000000004,6391.856400000001
2020,11,Run,9.84361111111111,105.9542,711.2435000000002
2020,11,Swim,1.0563888888888888,3.1,68.80959999999999
2020,12,Ride,7.779444444444445,202.50300000000001,6594.3594
2020,12,Run,8.433333333333332,89.6329,800.8764000000001
2020,12,Walk,1.3483333333333334,6.599,10.2651
